"pca1" "pca2" "population"
-0.015 -0.0546 "JPT"
-0.015 -0.0564 "JPT"
-0.0146 -0.0548 "JPT"
-0.0151 -0.0551 "JPT"
-0.015 -0.0557 "JPT"
-0.0148 -0.0548 "JPT"
-0.0147 -0.0551 "JPT"
-0.0142 -0.0545 "JPT"
-0.0149 -0.0552 "JPT"
-0.0147 -0.0556 "JPT"
-0.0148 -0.0555 "JPT"
-0.0148 -0.0557 "JPT"
-0.0148 -0.0551 "JPT"
-0.0151 -0.055 "JPT"
-0.0151 -0.0543 "JPT"
-0.0145 -0.0559 "JPT"
-0.0147 -0.054 "JPT"
-0.0147 -0.0546 "JPT"
-0.0148 -0.0556 "JPT"
-0.0146 -0.0558 "JPT"
-0.0143 -0.0546 "JPT"
-0.0147 -0.0553 "JPT"
-0.0147 -0.0542 "JPT"
-0.0151 -0.0558 "JPT"
-0.0153 -0.0561 "JPT"
-0.0146 -0.0557 "JPT"
-0.0151 -0.0555 "JPT"
-0.0149 -0.055 "JPT"
-0.0146 -0.0554 "JPT"
-0.0141 -0.0553 "JPT"
-0.0148 -0.0558 "JPT"
-0.0143 -0.0553 "JPT"
-0.0148 -0.056 "JPT"
-0.0148 -0.0546 "JPT"
-0.0147 -0.0544 "JPT"
-0.0144 -0.0547 "JPT"
-0.0145 -0.0548 "JPT"
-0.0142 -0.0547 "JPT"
-0.0145 -0.0546 "JPT"
-0.0157 -0.0554 "JPT"
-0.0144 -0.0555 "JPT"
-0.0147 -0.0549 "JPT"
-0.0153 -0.0559 "JPT"
-0.0144 -0.0547 "JPT"
-0.0147 -0.0555 "JPT"
-0.0151 -0.0545 "JPT"
-0.0148 -0.0548 "JPT"
-0.0149 -0.0553 "JPT"
-0.0143 -0.0546 "JPT"
-0.014 -0.0547 "JPT"
-0.0149 -0.0554 "JPT"
-0.0147 -0.054 "JPT"
-0.0147 -0.056 "JPT"
-0.0148 -0.0548 "JPT"
-0.0421 0.0149 "LWK"
-0.0417 0.0159 "LWK"
-0.0425 0.0154 "LWK"
-0.0423 0.0158 "LWK"
-0.0431 0.0162 "LWK"
-0.0434 0.0163 "LWK"
-0.0428 0.0154 "LWK"
-0.042 0.0159 "LWK"
-0.0407 0.014 "LWK"
-0.0147 -0.0557 "JPT"
-0.0149 -0.0559 "JPT"
-0.0146 -0.0546 "JPT"
-0.0144 -0.0555 "JPT"
-0.0146 -0.0553 "JPT"
-0.0143 -0.0545 "JPT"
-0.015 -0.055 "JPT"
-0.0149 -0.0542 "JPT"
-0.0147 -0.0554 "JPT"
-0.015 -0.0558 "JPT"
-0.0149 -0.0549 "JPT"
-0.0147 -0.0548 "JPT"
-0.0147 -0.0552 "JPT"
-0.0139 -0.055 "JPT"
-0.0148 -0.054 "JPT"
-0.014 -0.0548 "JPT"
-0.0155 -0.0559 "JPT"
-0.0142 -0.0555 "JPT"
